risk_class_final,count,total_length_m,percentage
Area of Attention,618,46512.758509897125,61.93269527783502
High Risk,9,803.600153397069,1.0700101438828258
Low Risk,131,10435.106935650643,13.894559659362235
Moderate Risk,98,9028.409700390495,12.021513338082409
Not at Risk,75,6320.742728385864,8.416199035871355
Very Low Risk,24,2001.4880589543072,2.6650225449661633
